,base,quote,symbol_a,symbol_b
0,NOT,USDT,NOT/USDT,NOT/USDT
1,ANIME,USDT,ANIME/USDT,ANIME/USDT
2,ONT,USDT,ONT/USDT,ONT/USDT
3,ZRO,USDC,ZRO/USDC,ZRO/USDC
4,ATOM,USDC,ATOM/USDC,ATOM/USDC
5,BNB,USDC,BNB/USDC,BNB/USDC
6,BICO,USDT,BICO/USDT,BICO/USDT
7,TURBO,USDT,TURBO/USDT,TURBO/USDT
8,ARKM,USDC,ARKM/USDC,ARKM/USDC
9,PERP,USDT,PERP/USDT,PERP/USDT
10,KAIA,USDC,KAIA/USDC,KAIA/USDC
11,ICP,USDT,ICP/USDT,ICP/USDT
12,ACH,USDT,ACH/USDT,ACH/USDT
13,WOO,USDT,WOO/USDT,WOO/USDT
14,MEME,USDT,MEME/USDT,MEME/USDT
15,ETH,USDC,ETH/USDC,ETH/USDC
16,DOT,USDC,DOT/USDC,DOT/USDC
17,ICP,EUR,ICP/EUR,ICP/EUR
18,LINK,USDC,LINK/USDC,LINK/USDC
19,CRV,USDT,CRV/USDT,CRV/USDT
20,DIA,USDT,DIA/USDT,DIA/USDT
21,S,USDT,S/USDT,S/USDT
22,APE,USDT,APE/USDT,APE/USDT
23,XTZ,USDC,XTZ/USDC,XTZ/USDC
24,BTC,EUR,BTC/EUR,BTC/EUR
25,ADA,USDC,ADA/USDC,ADA/USDC
26,XLM,USDT,XLM/USDT,XLM/USDT
27,TRUMP,USDT,TRUMP/USDT,TRUMP/USDT
28,FORTH,USDT,FORTH/USDT,FORTH/USDT
29,ASTR,USDT,ASTR/USDT,ASTR/USDT
30,PENDLE,USDC,PENDLE/USDC,PENDLE/USDC
31,PNUT,USDT,PNUT/USDT,PNUT/USDT
32,RSR,USDT,RSR/USDT,RSR/USDT
33,ENS,USDC,ENS/USDC,ENS/USDC
34,BERA,USDT,BERA/USDT,BERA/USDT
35,BAL,USDT,BAL/USDT,BAL/USDT
36,APE,USDC,APE/USDC,APE/USDC
37,SHIB,USDC,SHIB/USDC,SHIB/USDC
38,UNI,USDC,UNI/USDC,UNI/USDC
39,XLM,EUR,XLM/EUR,XLM/EUR
40,ACA,USDT,ACA/USDT,ACA/USDT
41,POL,USDC,POL/USDC,POL/USDC
42,ONE,USDT,ONE/USDT,ONE/USDT
43,ARB,USDT,ARB/USDT,ARB/USDT
44,ZRX,USDT,ZRX/USDT,ZRX/USDT
45,FXS,USDT,FXS/USDT,FXS/USDT
46,ORDI,USDT,ORDI/USDT,ORDI/USDT
47,GALA,USDT,GALA/USDT,GALA/USDT
48,CVX,USDT,CVX/USDT,CVX/USDT
49,STRK,USDC,STRK/USDC,STRK/USDC
50,NEO,USDT,NEO/USDT,NEO/USDT
51,SUSHI,USDT,SUSHI/USDT,SUSHI/USDT
52,HMSTR,USDT,HMSTR/USDT,HMSTR/USDT
53,BNT,USDT,BNT/USDT,BNT/USDT
54,BONK,USDT,BONK/USDT,BONK/USDT
55,WLD,USDC,WLD/USDC,WLD/USDC
56,ARB,USDC,ARB/USDC,ARB/USDC
57,RAY,USDT,RAY/USDT,RAY/USDT
58,TRB,USDC,TRB/USDC,TRB/USDC
59,NEO,USDC,NEO/USDC,NEO/USDC
60,BCH,USDT,BCH/USDT,BCH/USDT
61,CATI,USDC,CATI/USDC,CATI/USDC
62,W,USDT,W/USDT,W/USDT
63,JUP,USDT,JUP/USDT,JUP/USDT
64,METIS,USDT,METIS/USDT,METIS/USDT
65,USDC,USDT,USDC/USDT,USDC/USDT
66,XRP,USDC,XRP/USDC,XRP/USDC
67,AAVE,USDC,AAVE/USDC,AAVE/USDC
68,CHZ,USDC,CHZ/USDC,CHZ/USDC
69,CELO,USDT,CELO/USDT,CELO/USDT
70,YFI,USDT,YFI/USDT,YFI/USDT
71,APT,EUR,APT/EUR,APT/EUR
72,THETA,USDT,THETA/USDT,THETA/USDT
73,USDT,BRL,USDT/BRL,USDT/BRL
74,ALPHA,USDT,ALPHA/USDT,ALPHA/USDT
75,WBTC,BTC,WBTC/BTC,WBTC/BTC
76,LUNC,USDT,LUNC/USDT,LUNC/USDT
77,CELR,USDT,CELR/USDT,CELR/USDT
78,AEVO,USDT,AEVO/USDT,AEVO/USDT
79,NEIRO,USDT,NEIRO/USDT,NEIRO/USDT
80,CTXC,USDT,CTXC/USDT,CTXC/USDT
81,TRUMP,BRL,TRUMP/BRL,TRUMP/BRL
82,ETH,BTC,ETH/BTC,ETH/BTC
83,WAXP,USDT,WAXP/USDT,WAXP/USDT
84,SOL,USDC,SOL/USDC,SOL/USDC
85,IMX,USDT,IMX/USDT,IMX/USDT
86,TIA,USDT,TIA/USDT,TIA/USDT
87,ZK,USDC,ZK/USDC,ZK/USDC
88,GLM,USDT,GLM/USDT,GLM/USDT
89,TON,USDT,TON/USDT,TON/USDT
90,OP,USDT,OP/USDT,OP/USDT
91,ETHFI,USDT,ETHFI/USDT,ETHFI/USDT
92,BLUR,USDT,BLUR/USDT,BLUR/USDT
93,ETH,TRY,ETH/TRY,ETH/TRY
94,LPT,USDT,LPT/USDT,LPT/USDT
95,SC,USDT,SC/USDT,SC/USDT
96,BADGER,USDT,BADGER/USDT,BADGER/USDT
97,ALCX,USDT,ALCX/USDT,ALCX/USDT
98,BAND,USDT,BAND/USDT,BAND/USDT
99,XRP,BRL,XRP/BRL,XRP/BRL
100,OP,USDC,OP/USDC,OP/USDC
101,BIO,USDT,BIO/USDT,BIO/USDT
102,EIGEN,USDT,EIGEN/USDT,EIGEN/USDT
103,OM,USDT,OM/USDT,OM/USDT
104,ETHFI,USDC,ETHFI/USDC,ETHFI/USDC
105,JTO,USDT,JTO/USDT,JTO/USDT
106,PIXEL,USDT,PIXEL/USDT,PIXEL/USDT
107,PEPE,USDC,PEPE/USDC,PEPE/USDC
108,WIF,EUR,WIF/EUR,WIF/EUR
109,LTC,BTC,LTC/BTC,LTC/BTC
110,NOT,USDC,NOT/USDC,NOT/USDC
111,ONT,USDC,ONT/USDC,ONT/USDC
112,BTC,USDT,BTC/USDT,BTC/USDT
113,FIL,USDT,FIL/USDT,FIL/USDT
